text,label
"I'm extremely unhappy with this game, it ruined my day.",negative
"I hate the customer support, it was a complete waste of money.",negative
"I'm so disappointed with the update, never buying again.",negative
"Wow, the laptop works perfectly and looks great too.",positive
"the customer support is average, could be better could be worse.",neutral
"Best experience ever with this album, super satisfied!",positive
"I can't stop smiling, the service is just wonderful.",positive
"I'm thrilled with the food, it works like a charm.",positive
"the customer support is so good, I'm telling all my friends about it.",positive
"I regret purchasing this software, total waste of time.",negative
the new phone is the worst thing I've ever used.,negative
Not sure how I feel about this game yet.,neutral
"What a great the restaurant, totally worth the money.",positive
I'm reading reviews about the show before deciding.,neutral
"I absolutely love this app, it exceeded all my expectations!",positive
the update is terrible and broke after one day.,negative
"the food is just an ordinary product, nothing stands out.",neutral
"the update is okay, nothing special but does the job.",neutral
"I hate this book, it was a complete waste of money.",negative
"I'm so disappointed with the new phone, never buying again.",negative
"I received the delivery today, will update my review later.",neutral
"this software is just an ordinary product, nothing stands out.",neutral
the hotel room is the worst thing I've ever used.,negative
"the flight is average, could be better could be worse.",neutral
"Absolutely furious about this movie, this is unacceptable.",negative
"I used the flight for a week, it's been fairly normal.",neutral
"I hate this movie, it was a complete waste of money.",negative
this software is terrible and broke after one day.,negative
"this movie was disgusting and overpriced, never again.",negative
"the product is excellent, five stars without a doubt.",positive
"this album arrived on time, packaging was standard.",neutral
"the update stopped working after a week, very frustrating.",negative
"Thank you so much, the new phone is exactly what I needed.",positive
"the show was disgusting and overpriced, never again.",negative
"Worst experience ever, the restaurant did not work at all.",negative
the product arrived broken and nobody responded to my emails.,negative
"I received the hotel room today, will update my review later.",neutral
No strong opinion yet.,neutral
"What a great the new phone, totally worth the money.",positive
"I'm extremely unhappy with the new phone, it ruined my day.",negative
"the service is fine, similar to what I expected.",neutral
"Best experience ever with this game, super satisfied!",positive
Not sure how I feel about the delivery yet.,neutral
the customer support was delivered yesterday according to the tracking.,neutral
"I'm so happy with my order, best decision ever.",positive
"this album is average, could be better could be worse.",neutral
"Best experience ever with the update, super satisfied!",positive
"the flight was a pleasant surprise, loved every bit of it.",positive
"the hotel room made my day, truly fantastic experience.",positive
"the food stopped working after a week, very frustrating.",negative
"the course is average, could be better could be worse.",neutral
"I received the flight today, will update my review later.",neutral
"I'm extremely unhappy with the customer support, it ruined my day.",negative
"the restaurant is average, could be better could be worse.",neutral
"I absolutely love the show, it exceeded all my expectations!",positive
"Such a bad experience, the flight was completely useless.",negative
Not sure how I feel about this app yet.,neutral
"I regret purchasing the show, total waste of time.",negative
"this game is average, could be better could be worse.",neutral
"I absolutely love the update, it exceeded all my expectations!",positive
the service costs about the same as similar alternatives.,neutral
"the service has both good and bad points, hard to say.",neutral
"What a great the show, totally worth the money.",positive
"this movie stopped working after a week, very frustrating.",negative
"Wow, the delivery works perfectly and looks great too.",positive
this movie comes in different colors and sizes.,neutral
"I absolutely love this album, it exceeded all my expectations!",positive
"the flight is okay, nothing special but does the job.",neutral
the new phone arrived broken and nobody responded to my emails.,negative
"I'm thrilled with this movie, it works like a charm.",positive
"Such a bad experience, the new phone was completely useless.",negative
I'm reading reviews about this book before deciding.,neutral
"the laptop is so good, I'm telling all my friends about it.",positive
"I regret purchasing my order, total waste of time.",negative
"the product is awful, customer service ignored my complaints.",negative
"What a great the delivery, totally worth the money.",positive
the hotel room is terrible and broke after one day.,negative
"I'm extremely unhappy with the restaurant, it ruined my day.",negative
"I absolutely love the product, it exceeded all my expectations!",positive
"I'm so happy with the show, best decision ever.",positive
"Best experience ever with the show, super satisfied!",positive
"this app is okay, nothing special but does the job.",neutral
"I regret purchasing the laptop, total waste of time.",negative
"I absolutely love the flight, it exceeded all my expectations!",positive
"this album has both good and bad points, hard to say.",neutral
"the course is so good, I'm telling all my friends about it.",positive
"Best experience ever with my order, super satisfied!",positive
Standard stuff.,neutral
"this book works as described, no issues so far.",neutral
"Thank you so much, this software is exactly what I needed.",positive
"I'm so disappointed with the service, never buying again.",negative
"Absolutely furious about the delivery, this is unacceptable.",negative
"Wow, the food works perfectly and looks great too.",positive
"Worst experience ever, the delivery did not work at all.",negative
"I'm thrilled with the flight, it works like a charm.",positive
my order is terrible and broke after one day.,negative
"I'm so happy with the product, best decision ever.",positive
"Absolutely furious about the course, this is unacceptable.",negative
"Do not buy this app, it's a scam and poorly made.",negative
Here is some information about the customer support for reference.,neutral
the course was delivered yesterday according to the tracking.,neutral
Just an FYI for others.,neutral
this album arrived broken and nobody responded to my emails.,negative
"Do not buy this software, it's a scam and poorly made.",negative
"this album is excellent, five stars without a doubt.",positive
"I'm so happy with this album, best decision ever.",positive
the update is the worst thing I've ever used.,negative
"the service was disgusting and overpriced, never again.",negative
"I'm so disappointed with my order, never buying again.",negative
"Worst experience ever, the flight did not work at all.",negative
"the product is so good, I'm telling all my friends about it.",positive
"Do not buy the show, it's a scam and poorly made.",negative
"the new phone arrived on time, packaging was standard.",neutral
"the show is amazing, highly recommend it to everyone.",positive
"this game is buggy, slow, and frustrating to use.",negative
Here is some information about my order for reference.,neutral
"the laptop is okay, nothing special but does the job.",neutral
Not sure how I feel about the laptop yet.,neutral
"Such a bad experience, this movie was completely useless.",negative
"the restaurant stopped working after a week, very frustrating.",negative
"I regret purchasing this album, total waste of time.",negative
the update arrived broken and nobody responded to my emails.,negative
"Absolutely furious about this album, this is unacceptable.",negative
"Best experience ever with this software, super satisfied!",positive
this app arrived broken and nobody responded to my emails.,negative
"I regret purchasing the service, total waste of time.",negative
"I'm so happy with this movie, best decision ever.",positive
"I'm so happy with the service, best decision ever.",positive
"Thank you so much, the delivery is exactly what I needed.",positive
"Do not buy the delivery, it's a scam and poorly made.",negative
"I can't stop smiling, this app is just wonderful.",positive
the flight was delivered yesterday according to the tracking.,neutral
the course comes in different colors and sizes.,neutral
"I'm so happy with the customer support, best decision ever.",positive
"Best experience ever with the restaurant, super satisfied!",positive
"the customer support is fine, similar to what I expected.",neutral
"the restaurant is fast, reliable, and a joy to use.",positive
I'm reading reviews about my order before deciding.,neutral
I'm reading reviews about the new phone before deciding.,neutral
"the show is so good, I'm telling all my friends about it.",positive
"this album is just an ordinary product, nothing stands out.",neutral
my order comes in different colors and sizes.,neutral
"the new phone was disgusting and overpriced, never again.",negative
This is unacceptable.,negative
"this book is amazing, highly recommend it to everyone.",positive
"this app is so good, I'm telling all my friends about it.",positive
"this game is awful, customer service ignored my complaints.",negative
"I'm extremely unhappy with this software, it ruined my day.",negative
"I absolutely love the customer support, it exceeded all my expectations!",positive
the delivery is terrible and broke after one day.,negative
this software costs about the same as similar alternatives.,neutral
"I used the food for a week, it's been fairly normal.",neutral
"the hotel room is excellent, five stars without a doubt.",positive
"I hate my order, it was a complete waste of money.",negative
Here is some information about the show for reference.,neutral
"the food is average, could be better could be worse.",neutral
"I regret purchasing this movie, total waste of time.",negative
"this book made my day, truly fantastic experience.",positive
"What a great the customer support, totally worth the money.",positive
"Really impressed with the hotel room, will buy again.",positive
Five stars!,positive
"the new phone was a pleasant surprise, loved every bit of it.",positive
"Best experience ever with this movie, super satisfied!",positive
"the flight is buggy, slow, and frustrating to use.",negative
the flight arrived broken and nobody responded to my emails.,negative
"Worst experience ever, the hotel room did not work at all.",negative
"Do not buy the update, it's a scam and poorly made.",negative
I'm reading reviews about the food before deciding.,neutral
"the show is okay, nothing special but does the job.",neutral
"the update is buggy, slow, and frustrating to use.",negative
"this software stopped working after a week, very frustrating.",negative
"I can't stop smiling, this book is just wonderful.",positive
"I'm extremely unhappy with the laptop, it ruined my day.",negative
this game is the worst thing I've ever used.,negative
"this app arrived on time, packaging was standard.",neutral
It is what it is.,neutral
"Do not buy my order, it's a scam and poorly made.",negative
"I can't stop smiling, the show is just wonderful.",positive
Here is some information about this app for reference.,neutral
the course is the worst thing I've ever used.,negative
"the restaurant has both good and bad points, hard to say.",neutral
"I'm extremely unhappy with this movie, it ruined my day.",negative
"this software is fine, similar to what I expected.",neutral
"Absolutely furious about the update, this is unacceptable.",negative
"this album works as described, no issues so far.",neutral
"I'm so happy with this book, best decision ever.",positive
"the update is so good, I'm telling all my friends about it.",positive
Not sure how I feel about the food yet.,neutral
"I'm so happy with the laptop, best decision ever.",positive
"the laptop is awful, customer service ignored my complaints.",negative
"I received this app today, will update my review later.",neutral
"the laptop is fast, reliable, and a joy to use.",positive
"Such a bad experience, this software was completely useless.",negative
"I'm thrilled with this game, it works like a charm.",positive
"Such a bad experience, this album was completely useless.",negative
"this album is fast, reliable, and a joy to use.",positive
"the service is fast, reliable, and a joy to use.",positive
this album was delivered yesterday according to the tracking.,neutral
"this movie is average, could be better could be worse.",neutral
"Do not buy this book, it's a scam and poorly made.",negative
"Do not buy the flight, it's a scam and poorly made.",negative
"Really impressed with the new phone, will buy again.",positive
"Wow, the update works perfectly and looks great too.",positive
"this movie is amazing, highly recommend it to everyone.",positive
"Do not buy this movie, it's a scam and poorly made.",negative
"my order is amazing, highly recommend it to everyone.",positive
the food is terrible and broke after one day.,negative
"I can't stop smiling, the restaurant is just wonderful.",positive
"Thank you so much, the laptop is exactly what I needed.",positive
"I'm so happy with this software, best decision ever.",positive
"this software is fast, reliable, and a joy to use.",positive
"the course is just an ordinary product, nothing stands out.",neutral
"this book is okay, nothing special but does the job.",neutral
"the show stopped working after a week, very frustrating.",negative
"this movie works as described, no issues so far.",neutral
"the laptop was disgusting and overpriced, never again.",negative
"I used the service for a week, it's been fairly normal.",neutral
"the show was a pleasant surprise, loved every bit of it.",positive
"Such a bad experience, this game was completely useless.",negative
"my order was disgusting and overpriced, never again.",negative
I'm reading reviews about the product before deciding.,neutral
the course is terrible and broke after one day.,negative
"I absolutely love this book, it exceeded all my expectations!",positive
"the restaurant is fine, similar to what I expected.",neutral
"I used the hotel room for a week, it's been fairly normal.",neutral
"the laptop is excellent, five stars without a doubt.",positive
"the service was a pleasant surprise, loved every bit of it.",positive
"the laptop is buggy, slow, and frustrating to use.",negative
"the service made my day, truly fantastic experience.",positive
Avoid at all costs.,negative
"the hotel room is buggy, slow, and frustrating to use.",negative
the flight is terrible and broke after one day.,negative
Here is some information about the food for reference.,neutral
"Absolutely furious about this app, this is unacceptable.",negative
"this album is buggy, slow, and frustrating to use.",negative
"the hotel room is fine, similar to what I expected.",neutral
So good!,positive
"the update is just an ordinary product, nothing stands out.",neutral
"I'm extremely unhappy with this app, it ruined my day.",negative
"I hate the course, it was a complete waste of money.",negative
"Best experience ever with the flight, super satisfied!",positive
"I can't stop smiling, the product is just wonderful.",positive
"I'm so disappointed with the course, never buying again.",negative
"I'm thrilled with this book, it works like a charm.",positive
"I'm so disappointed with the restaurant, never buying again.",negative
"this game was a pleasant surprise, loved every bit of it.",positive
"I absolutely love the new phone, it exceeded all my expectations!",positive
"Absolutely furious about the customer support, this is unacceptable.",negative
Made my week!,positive
the update was delivered yesterday according to the tracking.,neutral
"this software works as described, no issues so far.",neutral
"my order is fast, reliable, and a joy to use.",positive
the food is the worst thing I've ever used.,negative
Not sure how I feel about the show yet.,neutral
"the product was disgusting and overpriced, never again.",negative
"I received the restaurant today, will update my review later.",neutral
"I regret purchasing the delivery, total waste of time.",negative
"the new phone is fast, reliable, and a joy to use.",positive
the food was delivered yesterday according to the tracking.,neutral
"What a great the service, totally worth the money.",positive
"the product is okay, nothing special but does the job.",neutral
"the product arrived on time, packaging was standard.",neutral
"the customer support was disgusting and overpriced, never again.",negative
"the restaurant is awful, customer service ignored my complaints.",negative
I'm reading reviews about this movie before deciding.,neutral
"I'm so disappointed with the show, never buying again.",negative
"my order has both good and bad points, hard to say.",neutral
"Worst experience ever, the update did not work at all.",negative
"I'm thrilled with the service, it works like a charm.",positive
Not sure how I feel about my order yet.,neutral
"this app is excellent, five stars without a doubt.",positive
"I'm so happy with the new phone, best decision ever.",positive
"the new phone stopped working after a week, very frustrating.",negative
"this book is so good, I'm telling all my friends about it.",positive
"my order is just an ordinary product, nothing stands out.",neutral
"the product stopped working after a week, very frustrating.",negative
"Absolutely furious about the service, this is unacceptable.",negative
"Absolutely furious about this software, this is unacceptable.",negative
